id,session,page,lon,lat,time
419,1477949140415,2,-73.9618065866,40.7804343051,14266
420,1477949140415,3,-73.9498069045,40.7967218573,10480
421,1477949140415,4,-73.9530500618,40.791647772,16227
422,1477949140415,5,-73.926131856,40.7722480972,8161
423,1477949140415,6,-73.9400774325,40.7565277504,12542
424,1477949140415,7,-73.9528338513,40.7768324979,10594
425,1477949140415,8,-73.9399693273,40.7566915232,14411
426,1477949140415,9,-73.9594282713,40.7832173859,7435
427,1477949140415,10,-73.9277534347,40.769710168,6284
428,1477949140415,11,-73.9450502738,40.7519419488,9404
429,1477950545641,1,-73.9603471658,40.8053141817,14812
430,1477950545641,2,-73.9542932721,40.7571828391,11527
431,1477950545641,3,-73.9580769557,40.8006499151,16352
432,1477950545641,4,-73.9638065336,40.7600487762,14888
433,1477950545641,5,-73.9368883278,40.759966894,14798
434,1477950545641,6,-73.9525635882,40.7765050512,26743
435,1477950545641,7,-73.952023062,40.7770780819,37221
436,1477950545641,8,-73.9496447466,40.7968036942,33431
437,1477950545641,9,-73.9596985344,40.7832992395,6984
438,1477950545641,10,-73.9341856967,40.7624233162,20248
439,1477950545641,11,-73.9605633763,40.7656165294,12506
440,1477950707974,1,-73.9575904821,40.7787971442,3105
441,1477950707974,2,-73.9569418506,40.7883739628,4387
442,1477950707974,3,-73.9559689034,40.75816546,5130
443,1477950707974,4,-73.9592120608,40.7596393642,11997
444,1477950707974,5,-73.9595363765,40.7605400673,14224
445,1477950707974,6,-73.935428907,40.7616045189,8018
446,1477950707974,7,-73.954887851,40.7899290423,10724
447,1477950707974,8,-73.9571580611,40.7785515666,12181
448,1477950707974,9,-73.9602931132,40.8010590744,11876
449,1477950707974,10,-73.9339154336,40.7629145898,8208
450,1477950707974,11,-73.9353208018,40.7608675927,11138
451,1477952172406,1,-73.9634822179,40.7597212468,6776
452,1477952172406,2,-73.9529960092,40.7920569868,7274
453,1477952172406,3,-73.9638065336,40.7605400673,7954
454,1477952172406,4,-73.9587255872,40.7825625539,6614
455,1477952172406,5,-73.9447800106,40.7518600566,11149
456,1477952172406,6,-73.9585093767,40.7693008155,4644
457,1477952172406,7,-73.9641308494,40.7605400673,4271
458,1477952172406,8,-73.9560229561,40.7892742764,5632
459,1477952172406,9,-73.9207806464,40.7704469961,6408
460,1477952172406,10,-73.9345100124,40.7626689535,3515
461,1477952172406,11,-73.9560229561,40.7769962207,5614
462,1477952148210,1,-73.9444016423,40.7515734331,7082
463,1477952148210,2,-73.9260237507,40.7722071637,13494
464,1477952148210,3,-73.9640767968,40.7604991265,8365
465,1477952148210,4,-73.9635362705,40.7604991265,14184
466,1477952148210,5,-73.9635362705,40.7603353631,7031
467,1477952148210,6,-73.9370504857,40.7597621881,22819
468,1477952148210,7,-73.9634281653,40.7602534813,5991
469,1477952148210,8,-73.9551040615,40.7889878143,27151
470,1477952148210,9,-73.9521852199,40.7767915672,4642
471,1477952148210,10,-73.9647254282,40.7598440705,6679
472,1477952148210,11,-73.9610498499,40.8011818217,17378
473,1477952195353,1,-73.9493744835,40.7971310409,15968
474,1477952195353,2,-73.9181320679,40.7705288654,21732
475,1477952195353,3,-73.9511041674,40.7562002036,9017
476,1477952195353,4,-73.9569418506,40.7860003502,20484
477,1477952195353,5,-73.9557526929,40.7776511076,10482
478,1477952195353,6,-73.9187806994,40.7697920382,29686
479,1477952195353,7,-73.9273210137,40.7693008155,12636
480,1477952195353,8,-73.9555364825,40.7859184999,16237
481,1477952195353,9,-73.955320272,40.7887831978,6546
482,1477952195353,10,-73.9580229031,40.7830536785,14891
483,1477952195353,11,-73.9346721703,40.7625051954,10846
484,1477952285663,1,-73.9604552711,40.7597212468,18772
485,1477952285663,2,-73.9432665372,40.7536616615,18491
486,1477952285663,3,-73.9548337984,40.7735579583,7259
487,1477952285663,4,-73.9211049621,40.7685639746,21267
488,1477952285663,5,-73.9607795868,40.7596393642,12273
489,1477952285663,6,-73.9235913827,40.7678271256,22575
490,1477952285663,7,-73.922834646,40.7693008155,4502
491,1477952285663,8,-73.9587255872,40.7827262625,25559
492,1477952285663,9,-73.9233751723,40.7690552028,8427
493,1477952285663,10,-73.9257534876,40.7721662301,12232
